,video,size_mb,len_minutes,date,time,weekday
20190620_121110.mp4,20190620_121110.mp4,160.58575,10.066666666666666,20190620,12.186111111111112,5
20190620_131228.mp4,20190620_131228.mp4,171.298789,10.737777777777778,20190620,13.207777777777777,5
20190620_144350.mp4,20190620_144350.mp4,98.325622,6.151111111111111,20190620,14.730555555555556,5
20190620_162626.mp4,20190620_162626.mp4,129.256885,8.106666666666667,20190620,16.440555555555555,5
20190620_170634.mp4,20190620_170634.mp4,144.387057,9.057777777777778,20190620,17.109444444444446,5
20190620_175212.mp4,20190620_175212.mp4,156.769092,9.831111111111111,20190620,17.87,5
20190620_190313.mp4,20190620_190313.mp4,108.305889,6.795555555555556,20190620,19.053611111111113,5
20190620_204142.mp4,20190620_204142.mp4,119.194387,7.471111111111111,20190620,20.695,5
20190620_213113.mp4,20190620_213113.mp4,117.455266,7.364444444444445,20190620,21.52027777777778,5
20190622_094921.mp4,20190622_094921.mp4,129.388526,8.115555555555556,20190622,9.8225,7
20190622_102411.mp4,20190622_102411.mp4,95.145382,5.964444444444444,20190622,10.403055555555556,7
20190622_124116.mp4,20190622_124116.mp4,119.748182,7.497777777777777,20190622,12.687777777777779,7
20190625_091524.mp4,20190625_091524.mp4,106.827107,6.688888888888889,20190625,9.256666666666666,3
20190625_104635.mp4,20190625_104635.mp4,191.200209,11.995555555555555,20190625,10.77638888888889,3
20190625_143626.mp4,20190625_143626.mp4,127.971074,8.008888888888889,20190625,14.607222222222221,3
20190625_170421.mp4,20190625_170421.mp4,155.866067,9.764444444444445,20190625,17.072499999999998,3
20190625_180254.mp4,20190625_180254.mp4,142.06765,8.911111111111111,20190625,18.048333333333336,3
20190702_170703_slipping_protest.1.mp4,20190702_170703_slipping_protest.1.mp4,79.107033,4.946666666666666,20190702,17.1175,3
20190703_160307_protest.2.mp4,20190703_160307_protest.2.mp4,159.324462,9.995555555555555,20190703,16.051944444444445,4
20190703_163050_slipping_protest.2.mp4,20190703_163050_slipping_protest.2.mp4,55.870927,3.488888888888889,20190703,16.51388888888889,4
20190703_193828_protest.2.mp4,20190703_193828_protest.2.mp4,84.800777,5.32,20190703,19.641111111111112,4
20190705_085717_parking.enter.queue.mp4,20190705_085717_parking.enter.queue.mp4,97.129501,6.088888888888889,20190705,8.954722222222221,6
20190705_101321.mp4,20190705_101321.mp4,105.950683,6.644444444444445,20190705,10.2225,6
20190706_005745.mp4,20190706_005745.mp4,169.395233,10.626666666666667,20190706,0.9624999999999999,7
20190712_230316.mp4,20190712_230316.mp4,129.567152,8.12888888888889,20190712,23.054444444444446,6
